client1,client2,value1,time
978243316372103188,718938302358749395,6.6,2023-06-12 16:36:30.424313-04:00
718938302358749395,977953361401905172,6.6,2023-06-12 16:40:41.627450-04:00
456034249204826124,826343607328833567,13.2,2023-06-13 13:52:33.748412-04:00
456034249204826124,576980014977777676,6.6,2023-06-12 16:58:39.622988-04:00
456034249204826124,618198844701671425,6.6,2023-06-12 16:58:39.627662-04:00
456034249204826124,1082862800306704406,6.6,2023-06-12 16:58:39.632262-04:00
456034249204826124,754003072807731301,6.6,2023-06-12 16:58:39.636766-04:00
456034249204826124,633943413800042516,156.6,2023-06-17 09:12:53.376632-04:00
456034249204826124,623902832164077580,6.6,2023-06-12 16:58:39.645990-04:00
456034249204826124,241000634260652032,13.2,2023-06-16 21:24:26.749781-04:00
428451817635053569,745075877418631339,6.6,2023-06-12 17:48:15.622049-04:00
333377436987293697,977953361401905172,6.6,2023-06-12 17:50:07.811396-04:00
333377436987293697,357665910498000898,6.6,2023-06-12 17:50:07.816527-04:00
357665910498000898,250833225121923084,6.6,2023-06-12 18:28:01.416437-04:00
308751100209528833,826343607328833567,6.6,2023-06-12 18:46:18.878855-04:00
483109095499628584,854422981858426938,6.6,2023-06-12 19:10:30.041527-04:00
257772464233250816,799571842888105984,66.0,2023-06-12 19:32:03.248707-04:00
637754336201408532,619804409748127744,16.5,2023-06-17 21:21:03.095142-04:00
537297943422828561,515741172098924547,131.4,2023-06-12 19:46:16.489970-04:00
535256308987854858,673512089582567435,6.6,2023-06-12 19:48:24.288577-04:00
535256308987854858,898008176987869215,6.6,2023-06-12 19:48:24.292965-04:00
415782683889893376,651793119867830284,6.6,2023-06-12 20:23:16.389296-04:00
443233036260081664,543851751690993675,66.0,2023-06-12 20:23:47.085164-04:00
480561103068200990,456034249204826124,50.7,2023-06-17 04:11:46.491533-04:00
480561103068200990,623902832164077580,6.6,2023-06-12 20:31:23.456506-04:00
952388162150367322,297688967577337856,119.1,2023-06-12 23:52:07.165316-04:00
952388162150367322,543851751690993675,119.1,2023-06-15 23:49:26.315640-04:00
388176255167496200,235047680361889792,6.6,2023-06-12 21:06:21.446500-04:00
952388162150367322,704542928164618302,36.3,2023-06-21 00:35:51.494581-04:00
952388162150367322,875652932287209522,6.6,2023-06-12 21:13:30.131749-04:00
901259118029979648,534099262292623381,6.6,2023-06-12 21:20:58.238336-04:00
